pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
6pql.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_E_)-GLC(1_E_)-FRU(2_E_),E GLA 3 C2 C1 GLC 1 O6 C6,E GLA 3 C1 GLC 1 O6 C6 C5,198.553,212.717,"(['GLA(3_E_)', 'GLC(1_E_)'], [30.14, 30.59])","(['3.E', '1.E'], ['4C1', '4C1'])"
6pql.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_G_)-GLC(1_G_)-FRU(2_G_),G GLA 3 C2 C1 GLC 1 O6 C6,G GLA 3 C1 GLC 1 O6 C6 C5,195.631,214.012,"(['GLA(3_G_)', 'GLC(1_G_)'], [37.7, 36.6])","(['3.G', '1.G'], ['4C1', '4C1'])"
6pql.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_F_)-GLC(1_F_)-FRU(2_F_),F GLA 3 C2 C1 GLC 1 O6 C6,F GLA 3 C1 GLC 1 O6 C6 C5,199.898,209.724,"(['GLA(3_F_)', 'GLC(1_F_)'], [34.7, 33.13])","(['3.F', '1.F'], ['4C1', '4C1'])"
6pql.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_H_)-GLC(1_H_)-FRU(2_H_),H GLA 3 C2 C1 GLC 1 O6 C6,H GLA 3 C1 GLC 1 O6 C6 C5,198.235,212.383,"(['GLA(3_H_)', 'GLC(1_H_)'], [38.14, 37.28])","(['3.H', '1.H'], ['4C1', '4C1'])"
3lrm.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_K_)-GLC(1_K_)-FRU(2_K_),K GLA 3 C2 C1 GLC 1 O6 C6,K GLA 3 C1 GLC 1 O6 C6 C5,249.208,211.777,"(['GLA(3_K_)', 'GLC(1_K_)'], [75.21, 75.62])","(['3.K', '1.K'], ['4C1', '4C1'])"
3lrm.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_M_)-GLC(1_M_)-FRU(2_M_),M GLA 3 C2 C1 GLC 1 O6 C6,M GLA 3 C1 GLC 1 O6 C6 C5,297.4647,179.434,"(['GLA(3_M_)', 'GLC(1_M_)'], [80.16, 85.58])","(['3.M', '1.M'], ['4C1', '4C1'])"
3lrm.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_L_)-GLC(1_L_)-FRU(2_L_),L GLA 3 C2 C1 GLC 1 O6 C6,L GLA 3 C1 GLC 1 O6 C6 C5,259.858,205.824,"(['GLA(3_L_)', 'GLC(1_L_)'], [82.33, 82.52])","(['3.L', '1.L'], ['4C1', '4C1'])"
3lrm.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_N_)-GLC(1_N_)-FRU(2_N_),N GLA 3 C2 C1 GLC 1 O6 C6,N GLA 3 C1 GLC 1 O6 C6 C5,327.8284,156.307,"(['GLA(3_N_)', 'GLC(1_N_)'], [97.08, 98.56])","(['3.N', '1.N'], ['4C1', '4C1'])"
6prg.pdb,DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(3_D_)-GLA(2_D_)-GLC(1_D_)-FRU(4_D_),D GLA 2 C2 C1 GLC 1 O6 C6,D GLA 2 C1 GLC 1 O6 C6 C5,221.178,150.789,"(['GLA(2_D_)', 'GLC(1_D_)'], [27.52, 31.93])","(['2.D', '1.D'], ['4C1', '4C1'])"
6prg.pdb,DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(3_C_)-GLA(2_C_)-GLC(1_C_)-FRU(4_C_),C GLA 2 C2 C1 GLC 1 O6 C6,C GLA 2 C1 GLC 1 O6 C6 C5,212.961,155.519,"(['GLA(2_C_)', 'GLC(1_C_)'], [23.7, 26.16])","(['2.C', '1.C'], ['4C1', '4C1'])"
2i58.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(1_D_)-GLC(2_D_)-FRU(3_D_),D GLA 1 C2 C1 GLC 2 O6 C6,D GLA 1 C1 GLC 2 O6 C6 C5,214.746,200.166,"(['GLA(1_D_)', 'GLC(2_D_)'], [38.54, 40.04])","(['1.D', '2.D'], ['4C1', '4C1'])"
2i58.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(1_C_)-GLC(2_C_)-FRU(3_C_),C GLA 1 C2 C1 GLC 2 O6 C6,C GLA 1 C1 GLC 2 O6 C6 C5,227.675,213.753,"(['GLA(1_C_)', 'GLC(2_C_)'], [52.53, 44.8])","(['1.C', '2.C'], ['4C1', '4C1'])"
3hg3.pdb,DGalpa1-6DGlcpa1-ROH,GLA(2_G_)-GLC(1_G_),G GLA 2 C2 C1 GLC 1 O6 C6,G GLA 2 C1 GLC 1 O6 C6 C5,185.948,182.778,"(['GLA(2_G_)', 'GLC(1_G_)'], [36.36, 58.17])","(['2.G', '1.G'], ['4C1', '4C1'])"
3hg3.pdb,DGalpa1-6DGlcpa1-ROH,GLA(2_E_)-GLC(1_E_),E GLA 2 C2 C1 GLC 1 O6 C6,E GLA 2 C1 GLC 1 O6 C6 C5,192.803,184.866,"(['GLA(2_E_)', 'GLC(1_E_)'], [29.48, 62.31])","(['2.E', '1.E'], ['4C1', '4C1'])"
4zza.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_D_)-GLC(2_D_)-FRU(1_D_),D GLA 3 C2 C1 GLC 2 O6 C6,D GLA 3 C1 GLC 2 O6 C6 C5,197.477,197.517,"(['GLA(3_D_)', 'GLC(2_D_)'], [7.89, 7.45])","(['3.D', '2.D'], ['4C1', '4C1'])"
4zza.pdb,DGalpa1-6DGlcpa2-1DFrufb,GLA(3_C_)-GLC(2_C_)-FRU(1_C_),C GLA 3 C2 C1 GLC 2 O6 C6,C GLA 3 C1 GLC 2 O6 C6 C5,188.354,198.446,"(['GLA(3_C_)', 'GLC(2_C_)'], [7.44, 9.75])","(['3.C', '2.C'], ['4C1', '-'])"
3w7x.pdb,DGalpa1-6DGlcpa1-ROH,GLA(2_C_)-GLC(1_C_),C GLA 2 C2 C1 GLC 1 O6 C6,C GLA 2 C1 GLC 1 O6 C6 C5,197.844,199.427,"(['GLA(2_C_)', 'GLC(1_C_)'], [26.3, 38.98])","(['2.C', '1.C'], ['4C1', '4C1'])"
3w7x.pdb,DGalpa1-6DGlcpa1-ROH,GLA(2_D_)-GLC(1_D_),D GLA 2 C2 C1 GLC 1 O6 C6,D GLA 2 C1 GLC 1 O6 C6 C5,184.89,216.524,"(['GLA(2_D_)', 'GLC(1_D_)'], [34.29, 44.28])","(['2.D', '1.D'], ['4C1', '-'])"
