,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
3,5mu9.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,177.386,57.1492,"(['GLA(3_B_)', 'GAL(1_B_)'], [7.1, 7.13])","(['3.B', '1.B'], ['4C1', '4C1'])"
6,6n1b.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,179.526,60.3415,"(['GLA(3_B_)', 'GAL(1_B_)'], [18.14, 22.98])","(['3.B', '1.B'], ['4C1', '4C1'])"
7,5d61.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,180.622,59.1869,"(['GLA(3_B_)', 'GAL(1_B_)'], [14.01, 14.03])","(['3.B', '1.B'], ['4C1', '4C1'])"
15,7uen.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_A_)-GAL(1_A_),A GLA 2 C2 C1 GAL 1 O3 C3,A GLA 2 C1 GAL 1 O3 C3 C4,199.485,99.0325,"(['GLA(2_A_)', 'GAL(1_A_)'], [19.46, 21.05])","(['2.A', '1.A'], ['4C1', '4C1'])"
19,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_O_)-[FUC(2_O_)]-GAL(1_O_),O GLA 3 C2 C1 GAL 1 O3 C3,O GLA 3 C1 GAL 1 O3 C3 C4,167.116,66.6947,"(['GLA(3_O_)', 'GAL(1_O_)'], [12.61, 11.97])","(['3.O', '1.O'], ['4C1', '4C1'])"
20,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_L_)-[FUC(2_L_)]-GAL(1_L_),L GLA 3 C2 C1 GAL 1 O3 C3,L GLA 3 C1 GAL 1 O3 C3 C4,165.951,67.2018,"(['GLA(3_L_)', 'GAL(1_L_)'], [13.49, 12.23])","(['3.L', '1.L'], ['4C1', '4C1'])"
21,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_I_)-[FUC(2_I_)]-GAL(1_I_),I GLA 3 C2 C1 GAL 1 O3 C3,I GLA 3 C1 GAL 1 O3 C3 C4,164.939,70.0878,"(['GLA(3_I_)', 'GAL(1_I_)'], [12.98, 12.15])","(['3.I', '1.I'], ['4C1', '4C1'])"
22,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_N_)-[FUC(2_N_)]-GAL(1_N_),N GLA 3 C2 C1 GAL 1 O3 C3,N GLA 3 C1 GAL 1 O3 C3 C4,172.602,63.0074,"(['GLA(3_N_)', 'GAL(1_N_)'], [6.31, 7.32])","(['3.N', '1.N'], ['4C1', '4C1'])"
23,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_H_)-[FUC(2_H_)]-GAL(1_H_),H GLA 3 C2 C1 GAL 1 O3 C3,H GLA 3 C1 GAL 1 O3 C3 C4,173.353,65.1719,"(['GLA(3_H_)', 'GAL(1_H_)'], [6.0, 7.36])","(['3.H', '1.H'], ['4C1', '4C1'])"
24,3ef2.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_K_)-[FUC(2_K_)]-GAL(1_K_),K GLA 3 C2 C1 GAL 1 O3 C3,K GLA 3 C1 GAL 1 O3 C3 C4,171.803,65.4938,"(['GLA(3_K_)', 'GAL(1_K_)'], [5.9, 8.02])","(['3.K', '1.K'], ['4C1', '4C1'])"
