pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
1h4p.pdb,DManpb1-2DManpa1-3[DManpa1-2DManpb1-6]DManpa1-6[DManpb1-2DManpb1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(8_C_)-BMA(7_C_)-[BMA(6_C_)-MAN(5_C_)]-MAN(4_C_)-[BMA(10_C_)-BMA(9_C_)]-BMA(3_C_)-NAG(2_C_)-NAG(1_C_)-ASN(165_A_),C BMA 10 C2 C1 BMA 9 O2 C,C BMA 10 C1 BMA 9 O2 C2 C,127.271,306.1016,"(['BMA(10_C_)', 'BMA(9_C_)'], [92.9, 87.57])","(['10.C', '9.C'], ['1S3', '4C1'])"
1h4p.pdb,DManpb1-2DManpb1-3[DManpb1-3[DManpb1-6]DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(8_E_)-[BMA(7_E_)]-BMA(6_E_)-[BMA(5_E_)-BMA(4_E_)]-MAN(3_E_)-NAG(2_E_)-NAG(1_E_)-ASN(165_B_),E BMA 5 C2 C1 BMA 4 O2 C2,E BMA 5 C1 BMA 4 O2 C2 C3,161.901,141.945,"(['BMA(5_E_)', 'BMA(4_E_)'], [89.4, 85.83])","(['5.E', '4.E'], ['4C1', '4C1'])"
2djg.pdb,DManpb1-2DManpb1-3DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(5_D_)-BMA(4_D_)-BMA(3_D_)-NAG(2_D_)-NAG(1_D_)-ASN(95_A_),D BMA 5 C2 C1 BMA 4 O2 C2,D BMA 5 C1 BMA 4 O2 C2 C3,115.383,296.742,"(['BMA(5_D_)', 'BMA(4_D_)'], [54.24, 65.29])","(['5.D', '4.D'], ['-', '4C1'])"
5b0s.pdb,DManpb1-2DManpb1-2DManpa1-ROH,BMA(3_C_)-BMA(2_C_)-MAN(1_C_),C BMA 3 C2 C1 BMA 2 O2 C2,C BMA 3 C1 BMA 2 O2 C2 C3,196.148,149.896,"(['BMA(3_C_)', 'BMA(2_C_)'], [27.18, 28.46])","(['3.C', '2.C'], ['-', '4C1'])"
5b0s.pdb,DManpb1-2DManpb1-2DManpa1-ROH,BMA(3_D_)-BMA(2_D_)-MAN(1_D_),D BMA 3 C2 C1 BMA 2 O2 C2,D BMA 3 C1 BMA 2 O2 C2 C3,195.782,162.596,"(['BMA(3_D_)', 'BMA(2_D_)'], [28.65, 30.08])","(['3.D', '2.D'], ['1S5', '4C1'])"
7eeb.pdb,DManpb1-2DManpb1-3[DManpb1-3DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(7_O_)-BMA(6_O_)-[BMA(5_O_)-BMA(4_O_)]-BMA(3_O_)-NAG(2_O_)-NAG(1_O_)-ASN(90_E_),O BMA 5 C2 C1 BMA 4 O2 C2,O BMA 5 C1 BMA 4 O2 C2 C3,324.6471,128.041,"(['BMA(5_O_)', 'BMA(4_O_)'], [106.41, 86.74])","(['5.O', '4.O'], ['4C1', '-'])"
4x1h.pdb,DManpb1-2DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(4_B_)-BMA(3_B_)-NAG(2_B_)-NAG(1_B_)-ASN(15_A_),B BMA 4 C2 C1 BMA 3 O2 C2,B BMA 4 C1 BMA 3 O2 C2 C3,185.661,85.2456,"(['BMA(4_B_)', 'BMA(3_B_)'], [127.69, 105.68])","(['4.B', '3.B'], ['4C1', '-'])"
6c26.pdb,DManpb1-2DManpb1-2DManpb1-2[DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(7_D_)-[BMA(6_D_)-BMA(5_D_)-BMA(4_D_)]-BMA(3_D_)-NAG(2_D_)-NAG(1_D_)-ASN(539_A_),D BMA 4 C2 C1 BMA 3 O2 C2,D BMA 4 C1 BMA 3 O2 C2 C3,242.649,116.327,"(['BMA(4_D_)', 'BMA(3_D_)'], [59.16, 54.97])","(['4.D', '3.D'], ['-', '4C1'])"
6c26.pdb,DManpb1-2DManpb1-2DManpb1-2[DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(7_D_)-[BMA(6_D_)-BMA(5_D_)-BMA(4_D_)]-BMA(3_D_)-NAG(2_D_)-NAG(1_D_)-ASN(539_A_),D BMA 6 C2 C1 BMA 5 O2 C2,D BMA 6 C1 BMA 5 O2 C2 C3,114.446,305.9411,"(['BMA(6_D_)', 'BMA(5_D_)'], [64.31, 61.3])","(['6.D', '5.D'], ['4C1', '-'])"
6c26.pdb,DManpb1-2DManpb1-2DManpb1-2[DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,BMA(7_D_)-[BMA(6_D_)-BMA(5_D_)-BMA(4_D_)]-BMA(3_D_)-NAG(2_D_)-NAG(1_D_)-ASN(539_A_),D BMA 5 C2 C1 BMA 4 O2 C2,D BMA 5 C1 BMA 4 O2 C2 C3,100.121,303.9309,"(['BMA(5_D_)', 'BMA(4_D_)'], [61.3, 59.16])","(['5.D', '4.D'], ['-', '-'])"
